dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds
banknote_authentication,tabpfn_distpfn,observed,0.1,0.05,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0005916053976711334,0.0004761766729748385,0.011262670434827066,0.0020631911471494734,0.010905507825346133,0.0017322765327513479,0.044776119402985,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.05,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0004897314003128667,0.0003498602061261697,0.005066580712247334,0.000722663469289892,0.004785883479934967,0.0005551770605406671,0.046875,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.1,majority_to_minority,0.9989106753812637,0.0018867655855870698,0.9978213507625272,0.0037735311711740915,1.0,0.0,0.9987732798037249,0.0021247417066195045,0.997289972899729,0.004693904627557943,1.0,0.0,1.0,0.0,0.0038107077215398335,0.0018257559072202975,0.028833501833223932,0.005087208293730261,0.026397935856111433,0.005059953580553384,0.09859154929577459,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.1,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.0004786474545597,0.00034551102565250123,0.008936189199761167,0.001486541466932537,0.008664151197638933,0.0012709629194370532,0.09375,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.2,majority_to_minority,0.9945533769063181,0.004991912521738382,0.9891067538126362,0.009983825043476743,1.0,0.0,0.9938740387073169,0.005613437089288527,0.9866236559139785,0.012234499136841643,1.0,0.0,1.0,0.0,0.010269437582403666,0.0038196588664914364,0.07008630086915484,0.008106111297652673,0.06256274771449394,0.004854721111477187,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.0009620702180559333,0.0002254684833665487,0.0193098529484026,0.0017932290276064472,0.018804118901373,0.0016747644302177243,0.203125,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.3,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0151663722271098,0.0008022433803683752,0.09708997681900154,0.006885823136364273,0.08839915679869532,0.0066108954032982874,0.2967032967032967,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.3,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.002693450040174867,0.0005693351081025529,0.033358077118138936,0.0012674733243501534,0.03190353483594207,0.0009798498252997104,0.296875,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3858685853565274e-08,1.897042982737647e-08,3.511809355236328e-05,9.02721224771442e-06,3.511115635240289e-05,9.017722060062654e-06,0.0,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.05,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0008455017117990001,0.000260171245345673,0.017489026517100298,0.001973002669079388,0.017035770416748534,0.0018307892474860646,0.051851851851851795,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.05,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003688790648209214,0.0003858707579877211,0.0062968496281488,0.0008434621368704747,0.006078028404210167,0.0006119900093822777,0.046875,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.1,majority_to_minority,0.9934640522875817,0.011320593513522033,0.9869281045751634,0.02264118702704409,1.0,0.0,0.9926666666666666,0.01270170592217177,0.984375,0.027063293868263706,1.0,0.0,1.0,0.0,0.008699660559184733,0.011609643834101575,0.0647529226499879,0.05677594562415454,0.037655237797429596,0.011668669505059785,0.09859154929577459,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.1,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009133029628877999,0.0007311427846581031,0.015673667902689967,0.001931769199776418,0.015177506299759334,0.0015111833116462595,0.1015625,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.2,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0091693340850243,0.0006397525098434537,0.07415521872249763,0.003448508593423877,0.06906573964330359,0.0031141724014532245,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0023187358829856665,3.3335986260236164e-05,0.0330164790609667,0.00037273358965751643,0.03179561011549167,0.0003558084384784563,0.203125,3
banknote_authentication,tabpfn_distpfn,observed,0.2,0.3,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0218837535247072,0.0005293670725989671,0.12143567387978012,0.002175515787289883,0.10868595665892004,0.0018488152369805608,0.3005464480874317,3
