method,dataset,r,direction,break_even_c
xgb_smote,breast_cancer_wisconsin,0.1,majority_to_minority,>0.30
xgb_smote,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
xgb_smote,breast_cancer_wisconsin,0.2,majority_to_minority,0.2
xgb_smote,breast_cancer_wisconsin,0.2,minority_to_majority,>0.30
xgb_smote,breast_cancer_wisconsin,0.5,majority_to_minority,0.05
xgb_smote,breast_cancer_wisconsin,0.5,minority_to_majority,0.1
xgb_smote,haberman_survival,0.05,majority_to_minority,>0.30
xgb_smote,haberman_survival,0.05,minority_to_majority,>0.30
xgb_smote,haberman_survival,0.1,majority_to_minority,>0.30
xgb_smote,haberman_survival,0.1,minority_to_majority,>0.30
xgb_smote,haberman_survival,0.2,majority_to_minority,0.05
xgb_smote,haberman_survival,0.2,minority_to_majority,>0.30
xgb_smote,haberman_survival,0.5,majority_to_minority,0.3
xgb_smote,haberman_survival,0.5,minority_to_majority,>0.30
xgb_smote,htru2,0.05,majority_to_minority,>0.30
xgb_smote,htru2,0.05,minority_to_majority,>0.30
xgb_smote,htru2,0.1,majority_to_minority,0.3
xgb_smote,htru2,0.1,minority_to_majority,>0.30
xgb_smote,htru2,0.2,majority_to_minority,0.2
xgb_smote,htru2,0.2,minority_to_majority,>0.30
xgb_smote,htru2,0.5,majority_to_minority,0.05
xgb_smote,htru2,0.5,minority_to_majority,>0.30
xgb_smote,ionosphere,0.05,majority_to_minority,>0.30
xgb_smote,ionosphere,0.05,minority_to_majority,>0.30
xgb_smote,ionosphere,0.1,majority_to_minority,>0.30
xgb_smote,ionosphere,0.1,minority_to_majority,>0.30
xgb_smote,ionosphere,0.2,majority_to_minority,0.2
xgb_smote,ionosphere,0.2,minority_to_majority,>0.30
xgb_smote,ionosphere,0.5,majority_to_minority,0.05
xgb_smote,ionosphere,0.5,minority_to_majority,0.05
xgb_smote,qsar_biodegradation,0.05,majority_to_minority,>0.30
xgb_smote,qsar_biodegradation,0.05,minority_to_majority,>0.30
xgb_smote,qsar_biodegradation,0.1,majority_to_minority,>0.30
xgb_smote,qsar_biodegradation,0.1,minority_to_majority,>0.30
xgb_smote,qsar_biodegradation,0.2,majority_to_minority,0.3
xgb_smote,qsar_biodegradation,0.2,minority_to_majority,>0.30
xgb_smote,qsar_biodegradation,0.5,majority_to_minority,0.05
xgb_smote,qsar_biodegradation,0.5,minority_to_majority,>0.30
xgb_smote,south_german_credit,0.05,majority_to_minority,0.1
xgb_smote,south_german_credit,0.05,minority_to_majority,0.2
xgb_smote,south_german_credit,0.1,majority_to_minority,0.05
xgb_smote,south_german_credit,0.1,minority_to_majority,0.05
xgb_smote,south_german_credit,0.2,majority_to_minority,0.1
xgb_smote,south_german_credit,0.2,minority_to_majority,>0.30
xgb_smote,south_german_credit,0.5,majority_to_minority,0.1
xgb_smote,south_german_credit,0.5,minority_to_majority,0.05
xgb_smote,spambase,0.05,majority_to_minority,>0.30
xgb_smote,spambase,0.05,minority_to_majority,>0.30
xgb_smote,spambase,0.1,majority_to_minority,>0.30
xgb_smote,spambase,0.1,minority_to_majority,>0.30
xgb_smote,spambase,0.2,majority_to_minority,0.3
xgb_smote,spambase,0.2,minority_to_majority,>0.30
xgb_smote,spambase,0.5,majority_to_minority,0.05
xgb_smote,spambase,0.5,minority_to_majority,>0.30
xgb_smote,statlog_heart,0.05,majority_to_minority,>0.30
xgb_smote,statlog_heart,0.05,minority_to_majority,>0.30
xgb_smote,statlog_heart,0.1,majority_to_minority,0.1
xgb_smote,statlog_heart,0.1,minority_to_majority,>0.30
xgb_smote,statlog_heart,0.2,majority_to_minority,0.05
xgb_smote,statlog_heart,0.2,minority_to_majority,0.1
xgb_smote,statlog_heart,0.5,majority_to_minority,0.05
xgb_smote,statlog_heart,0.5,minority_to_majority,0.05
xgb_weighted,banknote_authentication,0.05,majority_to_minority,>0.30
xgb_weighted,banknote_authentication,0.05,minority_to_majority,>0.30
xgb_weighted,banknote_authentication,0.1,majority_to_minority,>0.30
xgb_weighted,banknote_authentication,0.1,minority_to_majority,>0.30
xgb_weighted,banknote_authentication,0.2,majority_to_minority,0.05
xgb_weighted,banknote_authentication,0.2,minority_to_majority,>0.30
xgb_weighted,banknote_authentication,0.5,majority_to_minority,0.1
xgb_weighted,banknote_authentication,0.5,minority_to_majority,>0.30
xgb_weighted,blood_transfusion,0.05,majority_to_minority,0.2
xgb_weighted,blood_transfusion,0.05,minority_to_majority,0.1
xgb_weighted,blood_transfusion,0.1,majority_to_minority,0.1
xgb_weighted,blood_transfusion,0.1,minority_to_majority,0.3
xgb_weighted,blood_transfusion,0.2,majority_to_minority,0.3
xgb_weighted,blood_transfusion,0.2,minority_to_majority,0.1
xgb_weighted,blood_transfusion,0.5,majority_to_minority,0.1
xgb_weighted,blood_transfusion,0.5,minority_to_majority,0.1
xgb_weighted,breast_cancer_wisconsin,0.05,majority_to_minority,>0.30
xgb_weighted,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
xgb_weighted,breast_cancer_wisconsin,0.1,majority_to_minority,>0.30
xgb_weighted,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
xgb_weighted,breast_cancer_wisconsin,0.2,majority_to_minority,0.2
xgb_weighted,breast_cancer_wisconsin,0.2,minority_to_majority,>0.30
xgb_weighted,breast_cancer_wisconsin,0.5,majority_to_minority,0.05
xgb_weighted,breast_cancer_wisconsin,0.5,minority_to_majority,0.05
xgb_weighted,haberman_survival,0.05,majority_to_minority,0.05
xgb_weighted,haberman_survival,0.05,minority_to_majority,>0.30
xgb_weighted,haberman_survival,0.1,majority_to_minority,>0.30
xgb_weighted,haberman_survival,0.1,minority_to_majority,0.05
xgb_weighted,haberman_survival,0.2,majority_to_minority,0.05
xgb_weighted,haberman_survival,0.2,minority_to_majority,0.3
xgb_weighted,haberman_survival,0.5,majority_to_minority,0.3
xgb_weighted,haberman_survival,0.5,minority_to_majority,0.05
xgb_weighted,htru2,0.05,majority_to_minority,>0.30
xgb_weighted,htru2,0.05,minority_to_majority,>0.30
xgb_weighted,htru2,0.1,majority_to_minority,>0.30
xgb_weighted,htru2,0.1,minority_to_majority,>0.30
xgb_weighted,htru2,0.2,majority_to_minority,0.1
xgb_weighted,htru2,0.2,minority_to_majority,>0.30
xgb_weighted,htru2,0.5,majority_to_minority,>0.30
xgb_weighted,htru2,0.5,minority_to_majority,>0.30
xgb_weighted,ionosphere,0.05,majority_to_minority,>0.30
xgb_weighted,ionosphere,0.05,minority_to_majority,>0.30
xgb_weighted,ionosphere,0.1,majority_to_minority,>0.30
xgb_weighted,ionosphere,0.1,minority_to_majority,>0.30
xgb_weighted,ionosphere,0.2,majority_to_minority,>0.30
xgb_weighted,ionosphere,0.2,minority_to_majority,>0.30
xgb_weighted,ionosphere,0.5,majority_to_minority,0.05
xgb_weighted,ionosphere,0.5,minority_to_majority,>0.30
xgb_weighted,qsar_biodegradation,0.05,majority_to_minority,>0.30
xgb_weighted,qsar_biodegradation,0.05,minority_to_majority,>0.30
xgb_weighted,qsar_biodegradation,0.1,majority_to_minority,>0.30
xgb_weighted,qsar_biodegradation,0.1,minority_to_majority,>0.30
xgb_weighted,qsar_biodegradation,0.2,majority_to_minority,0.3
xgb_weighted,qsar_biodegradation,0.2,minority_to_majority,>0.30
xgb_weighted,qsar_biodegradation,0.5,majority_to_minority,0.05
xgb_weighted,qsar_biodegradation,0.5,minority_to_majority,0.05
xgb_weighted,south_german_credit,0.05,majority_to_minority,0.1
xgb_weighted,south_german_credit,0.05,minority_to_majority,>0.30
xgb_weighted,south_german_credit,0.1,majority_to_minority,>0.30
xgb_weighted,south_german_credit,0.1,minority_to_majority,>0.30
xgb_weighted,south_german_credit,0.2,majority_to_minority,0.2
xgb_weighted,south_german_credit,0.2,minority_to_majority,>0.30
xgb_weighted,south_german_credit,0.5,majority_to_minority,0.1
xgb_weighted,south_german_credit,0.5,minority_to_majority,0.05
xgb_weighted,spambase,0.05,majority_to_minority,>0.30
xgb_weighted,spambase,0.05,minority_to_majority,>0.30
xgb_weighted,spambase,0.1,majority_to_minority,>0.30
xgb_weighted,spambase,0.1,minority_to_majority,>0.30
xgb_weighted,spambase,0.2,majority_to_minority,>0.30
xgb_weighted,spambase,0.2,minority_to_majority,>0.30
xgb_weighted,spambase,0.5,majority_to_minority,>0.30
xgb_weighted,spambase,0.5,minority_to_majority,>0.30
xgb_weighted,statlog_heart,0.05,majority_to_minority,>0.30
xgb_weighted,statlog_heart,0.05,minority_to_majority,>0.30
xgb_weighted,statlog_heart,0.1,majority_to_minority,0.1
xgb_weighted,statlog_heart,0.1,minority_to_majority,>0.30
xgb_weighted,statlog_heart,0.2,majority_to_minority,0.05
xgb_weighted,statlog_heart,0.2,minority_to_majority,0.1
xgb_weighted,statlog_heart,0.5,majority_to_minority,0.1
xgb_weighted,statlog_heart,0.5,minority_to_majority,0.05
