dataset,r,c,direction,method,balanced_accuracy_observed,balanced_accuracy_oracle
blood_transfusion,0.2,0.1,minority_to_majority,tabpfn_threshold,0.6817738791423001,0.6695906432748538
blood_transfusion,0.2,0.2,majority_to_minority,tabpfn_threshold,0.6259746588693957,0.6198830409356725
blood_transfusion,0.2,0.2,minority_to_majority,tabpfn_threshold,0.6559454191033138,0.6483918128654971
blood_transfusion,0.2,0.3,majority_to_minority,tabpfn_threshold,0.607943469785575,0.5830896686159844
blood_transfusion,0.2,0.3,minority_to_majority,tabpfn_threshold,0.6861598440545809,0.672514619883041
blood_transfusion,0.5,0.0,clean,tabpfn_threshold,0.6790935672514621,0.6790935672514621
blood_transfusion,0.5,0.05,majority_to_minority,tabpfn_threshold,0.6944444444444443,0.6749512670565302
blood_transfusion,0.5,0.05,minority_to_majority,tabpfn_threshold,0.6849415204678362,0.6939571150097467
blood_transfusion,0.5,0.1,majority_to_minority,tabpfn_threshold,0.6817738791423001,0.6639863547758286
blood_transfusion,0.5,0.1,minority_to_majority,tabpfn_threshold,0.6669103313840156,0.6559454191033138
blood_transfusion,0.5,0.2,majority_to_minority,tabpfn_threshold,0.63864522417154,0.6142787524366472
blood_transfusion,0.5,0.2,minority_to_majority,tabpfn_threshold,0.6866471734892787,0.6720272904483431
blood_transfusion,0.5,0.3,majority_to_minority,tabpfn_threshold,0.6306042884990254,0.5097465886939571
blood_transfusion,0.5,0.3,minority_to_majority,tabpfn_threshold,0.6600877192982456,0.6033138401559454
breast_cancer_wisconsin,0.05,0.0,clean,tabpfn_threshold,0.9265873015873016,0.9265873015873016
breast_cancer_wisconsin,0.05,0.05,majority_to_minority,tabpfn_threshold,0.960978835978836,0.960978835978836
breast_cancer_wisconsin,0.05,0.05,minority_to_majority,tabpfn_threshold,0.9583333333333334,0.9583333333333334
breast_cancer_wisconsin,0.05,0.1,majority_to_minority,tabpfn_threshold,0.949404761904762,0.9470899470899472
breast_cancer_wisconsin,0.05,0.1,minority_to_majority,tabpfn_threshold,0.9384920634920634,0.9345238095238094
breast_cancer_wisconsin,0.05,0.2,majority_to_minority,tabpfn_threshold,0.9632936507936508,0.9689153439153438
breast_cancer_wisconsin,0.05,0.2,minority_to_majority,tabpfn_threshold,0.9520502645502644,0.9480820105820106
