dataset,seed,r,c,direction,realized_c,method,prior_mode,balanced_accuracy,worst_class_recall,auprc,macro_f1,minority_precision,minority_recall,auroc,brier,log_loss,ece
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,xgb_ros,,0.971311475409836,0.9426229508196722,1.0,0.9740499588843504,1.0,0.9426229508196722,1.0,0.0167105626314878,0.0577135384082794,0.0424983083524487
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,xgb_smote,,0.971311475409836,0.9426229508196722,1.0,0.9740499588843504,1.0,0.9426229508196722,1.0,0.0203947219997644,0.0670763179659843,0.0440714062868871
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007210355252027,0.0173904709517955,0.0170181629306832
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007210355252027,0.0173904709517955,0.0170181629306832
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007210355252027,0.0173904709517955,0.0170181629306832
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.823966335246368e-06,0.000716093313316,0.0007151790045576
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.225725467931621e-06,0.0007912402900919,0.0007901242924623
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.494051233722057e-05,0.0046454763415242,0.0046177511404739
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.697694021566688e-05,0.0047223313827378,0.0046935719187078
banknote_authentication,13,0.5,0.05,minority_to_majority,0.05,tabpfn_downsample,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005201628664508,0.0146982641890645,0.0144306427839646
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,xgb_none,,0.9869281045751634,0.9738562091503268,0.9995956810569072,0.9853129673146764,0.9682539682539684,1.0,0.9996785599485696,0.0156429912894964,0.0681907758116722,0.0450157591971484
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,xgb_weighted,,0.9901960784313726,0.9803921568627452,0.999531836304787,0.988976630456568,0.976,1.0,0.9996249866066644,0.0142058655619621,0.0638913959264755,0.043153255906972
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,xgb_ros,,0.9836601307189544,0.9673202614379084,0.9994646593188324,0.981654191516898,0.9606299212598424,1.0,0.9995714132647594,0.0163396336138248,0.0687115862965583,0.0453992050073363
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,xgb_smote,,0.9901960784313726,0.9803921568627452,0.999531836304787,0.988976630456568,0.976,1.0,0.9996249866066644,0.0131777264177799,0.0592119805514812,0.0380356467176567
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005148303695023,0.0560372322797775,0.0532818674499338
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005148303695023,0.0560372322797775,0.0532818674499338
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005148303695023,0.0560372322797775,0.0532818674499338
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.796870324990613e-05,0.0050406449943828,0.0050164873388143
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.490765855051572e-05,0.0063084124691104,0.0062706203067986
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004967050344769,0.0167386770200926,0.0164850919385078
banknote_authentication,13,0.5,0.1,majority_to_minority,0.1011235955056179,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005834292240424,0.0181482104761754,0.0178497907404772
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,xgb_none,,0.971311475409836,0.9426229508196722,1.0,0.9740499588843504,1.0,0.9426229508196722,1.0,0.0205038487911224,0.0728027373552322,0.0556650872528552
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,xgb_weighted,,0.971311475409836,0.9426229508196722,1.0,0.9740499588843504,1.0,0.9426229508196722,1.0,0.0190445426851511,0.0681732147932052,0.0524551915309645
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,xgb_ros,,0.959016393442623,0.918032786885246,0.9999333599893376,0.962809693822352,1.0,0.918032786885246,0.9999464266580947,0.0233252290636301,0.0777510777115821,0.0544658488712527
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,xgb_smote,,0.971311475409836,0.9426229508196722,1.0,0.9740499588843504,1.0,0.9426229508196722,1.0,0.0200884938240051,0.070712573826313,0.0531648566235195
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0034945309162139,0.0402319878339767,0.0383614388404054
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0034945309162139,0.0402319878339767,0.0383614388404054
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0034945309162139,0.0402319878339767,0.0383614388404054
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.851109123090093e-05,0.0034905341241672,0.0034710426256885
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.70409159618436e-05,0.0042597295998293,0.0042307844373761
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003459841996378,0.011963497031567,0.0117864761692766
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004000838024338,0.0128159121561664,0.0126107318439525
banknote_authentication,13,0.5,0.1,minority_to_majority,0.1,tabpfn_downsample,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0022108030971139,0.0321223363280296,0.0309595127521672
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,xgb_none,,0.9183006535947712,0.8366013071895425,0.9998677948175568,0.9090476127478866,0.8299319727891157,1.0,0.9998928533161898,0.0617833361029624,0.1945346295833587,0.1236673086746172
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,xgb_weighted,,0.937908496732026,0.8758169934640523,0.9999333599893376,0.9307772817000304,0.8652482269503546,1.0,0.999946426658095,0.049255933612585,0.1620334088802337,0.1085511383143338
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,xgb_ros,,0.931372549019608,0.8627450980392157,0.9999333599893376,0.923535253227408,0.8531468531468531,1.0,0.9999464266580947,0.0508136861026287,0.1652113050222396,0.107793072651733
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,xgb_smote,,0.9509803921568628,0.9019607843137256,0.999677294436556,0.9452692751661824,0.8905109489051095,1.0,0.9997321332904748,0.0418159961700439,0.1417080760002136,0.0901435671069405
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0306393783539533,0.148130714893341,0.1298391769149086
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0306393783539533,0.148130714893341,0.1298391769149086
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0306393783539533,0.148130714893341,0.1298391769149086
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016991253746786,0.0309234666922967,0.0300391020309819
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0043640874402949,0.0505314422324291,0.0482026130355922
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0046674187812468,0.0528713218217488,0.0503796014170699
banknote_authentication,13,0.5,0.2,majority_to_minority,0.2,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0089270269780267,0.0744610777213852,0.0695648149811631
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,xgb_none,,0.9631147540983608,0.9262295081967212,1.0,0.9665653495440728,1.0,0.9262295081967212,1.0,0.0242786481976509,0.0898117125034332,0.0666517621329562
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,xgb_weighted,,0.971311475409836,0.9426229508196722,1.0,0.9740499588843504,1.0,0.9426229508196722,1.0,0.019964512437582,0.0762182399630546,0.057045276723802
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,xgb_ros,,0.9795081967213116,0.9590163934426228,1.0,0.9815011637449718,1.0,0.9590163934426228,1.0,0.0191479213535785,0.0760878846049308,0.051960134729743
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,xgb_smote,,0.9754098360655736,0.9508196721311476,1.0,0.9777795733678086,1.0,0.9508196721311476,1.0,0.0191316287964582,0.071894034743309,0.0547375251183455
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0140937734395265,0.0864336490631103,0.0783843776670057
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0140937734395265,0.0864336490631103,0.0783843776670057
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0140937734395265,0.0864336490631103,0.0783843776670057
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004621332407324,0.0138402939940345,0.0136032034931207
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010006785735773,0.0205744212010698,0.0200547229704281
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018295939807942,0.0288877017553715,0.0279288676738034
